#Airplane
ap.boardingTime	Double	35	mins
ap.flightNo	String	CZ3265	unit
#Light
gl.initLight	Double	5	unit
gl.light	Double	5	unit
gl.passengers	Double	0	unit
#Passenger p1
p1.traffic	String	true	boolean
p1.flightNo	String	CZ3265	unit
p1.fee	Double	0	yuan
p1.light	Double	10	degree
p1.hasCheckinLuggage	String	true	boolean
p1.hasDanger	String	true	boolean
p1.updateLight	String	false	boolean
p1.updateBillboard	String	false	boolean
#Passenger p2
p2.traffic	String	false	boolean
p2.flightNo	String	CZ3265	unit
p2.fee	Double	0	yuan
p2.light	Double	7	degree
p2.hasCheckinLuggage	String	true	boolean
p2.hasDanger	String	true	boolean
p2.updateLight	String	false	boolean
p2.updateBillboard	String	false	boolean
#Passenger p3
p3.traffic	String	true	boolean
p3.flightNo	String	CZ3265	unit
p3.fee	Double	0	yuan
p3.light	Double	3	degree
p3.hasCheckinLuggage	String	true	boolean
p3.hasDanger	String	false	boolean
p3.updateLight	String	false	boolean
p3.updateBillboard	String	false	boolean
#Passenger p4
p4.traffic	String	true	boolean
p4.flightNo	String	CZ3265	unit
p4.fee	Double	0	yuan
p4.light	Double	2	degree
p4.hasCheckinLuggage	String	true	boolean
p4.hasDanger	String	false	boolean
p4.updateLight	String	false	boolean
p4.updateBillboard	String	false	boolean
#Passenger p5
p5.traffic	String	true	boolean
p5.flightNo	String	CZ3265	unit
p5.fee	Double	0	yuan
p5.light	Double	1	degree
p5.hasCheckinLuggage	String	true	boolean
p5.hasDanger	String	false	boolean
p5.updateLight	String	false	boolean
p5.updateBillboard	String	false	boolean
#Passenger p6
p6.traffic	String	true	boolean
p6.flightNo	String	CZ3265	unit
p6.fee	Double	0	yuan
p6.light	Double	7	degree
p6.hasCheckinLuggage	String	true	boolean
p6.hasDanger	String	false	boolean
p6.updateLight	String	false	boolean
p6.updateBillboard	String	false	boolean
#Passenger p7
p7.traffic	String	true	boolean
p7.flightNo	String	CZ3265	unit
p7.fee	Double	0	yuan
p7.light	Double	5	degree
p7.hasCheckinLuggage	String	true	boolean
p7.hasDanger	String	false	boolean
p7.updateLight	String	false	boolean
p7.updateBillboard	String	false	boolean
#Passenger p8
p8.traffic	String	true	boolean
p8.flightNo	String	CZ3265	unit
p8.fee	Double	0	yuan
p8.light	Double	3	degree
p8.hasCheckinLuggage	String	true	boolean
p8.hasDanger	String	false	boolean
p8.updateLight	String	false	boolean
p8.updateBillboard	String	false	boolean
#Passenger p9
p9.traffic	String	true	boolean
p9.flightNo	String	CZ3265	unit
p9.fee	Double	0	yuan
p9.light	Double	1	degree
p9.hasCheckinLuggage	String	true	boolean
p9.hasDanger	String	false	boolean
p9.updateLight	String	false	boolean
p9.updateBillboard	String	false	boolean
#Passenger p10
p10.traffic	String	true	boolean
p10.flightNo	String	CZ3265	unit
p10.fee	Double	0	yuan
p10.light	Double	4	degree
p10.hasCheckinLuggage	String	true	boolean
p10.hasDanger	String	false	boolean
p10.updateLight	String	false	boolean
p10.updateBillboard	String	false	boolean
#Passenger p11
p11.traffic	String	true	boolean
p11.flightNo	String	CZ3265	unit
p11.fee	Double	0	yuan
p11.light	Double	1	degree
p11.hasCheckinLuggage	String	true	boolean
p11.hasDanger	String	false	boolean
p11.updateLight	String	false	boolean
p11.updateBillboard	String	false	boolean
#Passenger p12
p12.traffic	String	true	boolean
p12.flightNo	String	CZ3265	unit
p12.fee	Double	0	yuan
p12.light	Double	8	degree
p12.hasCheckinLuggage	String	true	boolean
p12.hasDanger	String	false	boolean
p12.updateLight	String	false	boolean
p12.updateBillboard	String	false	boolean
#Passenger p13
p13.traffic	String	true	boolean
p13.flightNo	String	CZ3265	unit
p13.fee	Double	0	yuan
p13.light	Double	9	degree
p13.hasCheckinLuggage	String	true	boolean
p13.hasDanger	String	false	boolean
p13.updateLight	String	false	boolean
p13.updateBillboard	String	false	boolean
#Passenger p14
p14.traffic	String	true	boolean
p14.flightNo	String	CZ3265	unit
p14.fee	Double	0	yuan
p14.light	Double	7	degree
p14.hasCheckinLuggage	String	true	boolean
p14.hasDanger	String	false	boolean
p14.updateLight	String	false	boolean
p14.updateBillboard	String	false	boolean
#Passenger p15
p15.traffic	String	true	boolean
p15.flightNo	String	CZ3265	unit
p15.fee	Double	0	yuan
p15.light	Double	5	degree
p15.hasCheckinLuggage	String	true	boolean
p15.hasDanger	String	false	boolean
p15.updateLight	String	false	boolean
p15.updateBillboard	String	false	boolean
#Passenger p16
p16.traffic	String	true	boolean
p16.flightNo	String	CZ3265	unit
p16.fee	Double	0	yuan
p16.light	Double	2	degree
p16.hasCheckinLuggage	String	true	boolean
p16.hasDanger	String	false	boolean
p16.updateLight	String	false	boolean
p16.updateBillboard	String	false	boolean
#Passenger p17
p17.traffic	String	true	boolean
p17.flightNo	String	CZ3265	unit
p17.fee	Double	0	yuan
p17.light	Double	5	degree
p17.hasCheckinLuggage	String	true	boolean
p17.hasDanger	String	false	boolean
p17.updateLight	String	false	boolean
p17.updateBillboard	String	false	boolean
#Passenger p18
p18.traffic	String	true	boolean
p18.flightNo	String	CZ3265	unit
p18.fee	Double	0	yuan
p18.light	Double	10	degree
p18.hasCheckinLuggage	String	true	boolean
p18.hasDanger	String	false	boolean
p18.updateLight	String	false	boolean
p18.updateBillboard	String	false	boolean
#Passenger p19
p19.traffic	String	true	boolean
p19.flightNo	String	CZ3265	unit
p19.fee	Double	0	yuan
p19.light	Double	4	degree
p19.hasCheckinLuggage	String	true	boolean
p19.hasDanger	String	false	boolean
p19.updateLight	String	false	boolean
p19.updateBillboard	String	false	boolean
#Passenger p20
p20.traffic	String	true	boolean
p20.flightNo	String	CZ3265	unit
p20.fee	Double	0	yuan
p20.light	Double	7	degree
p20.hasCheckinLuggage	String	true	boolean
p20.hasDanger	String	false	boolean
p20.updateLight	String	false	boolean
p20.updateBillboard	String	false	boolean
#Passenger p21
p21.traffic	String	true	boolean
p21.flightNo	String	CZ3265	unit
p21.fee	Double	0	yuan
p21.light	Double	1	degree
p21.hasCheckinLuggage	String	false	boolean
p21.hasDanger	String	true	boolean
p21.updateLight	String	false	boolean
p21.updateBillboard	String	false	boolean
#Passenger p22
p22.traffic	String	false	boolean
p22.flightNo	String	CZ3265	unit
p22.fee	Double	0	yuan
p22.light	Double	5	degree
p22.hasCheckinLuggage	String	true	boolean
p22.hasDanger	String	false	boolean
p22.updateLight	String	false	boolean
p22.updateBillboard	String	false	boolean
#Passenger p23
p23.traffic	String	false	boolean
p23.flightNo	String	CZ3265	unit
p23.fee	Double	0	yuan
p23.light	Double	9	degree
p23.hasCheckinLuggage	String	true	boolean
p23.hasDanger	String	false	boolean
p23.updateLight	String	false	boolean
p23.updateBillboard	String	false	boolean
#Passenger p24
p24.traffic	String	false	boolean
p24.flightNo	String	CZ3265	unit
p24.fee	Double	0	yuan
p24.light	Double	10	degree
p24.hasCheckinLuggage	String	true	boolean
p24.hasDanger	String	false	boolean
p24.updateLight	String	false	boolean
p24.updateBillboard	String	false	boolean
#Passenger p25
p25.traffic	String	false	boolean
p25.flightNo	String	CZ3265	unit
p25.fee	Double	0	yuan
p25.light	Double	5	degree
p25.hasCheckinLuggage	String	true	boolean
p25.hasDanger	String	false	boolean
p25.updateLight	String	false	boolean
p25.updateBillboard	String	false	boolean
#Passenger p26
p26.traffic	String	false	boolean
p26.flightNo	String	CZ3265	unit
p26.fee	Double	0	yuan
p26.light	Double	10	degree
p26.hasCheckinLuggage	String	true	boolean
p26.hasDanger	String	false	boolean
p26.updateLight	String	false	boolean
p26.updateBillboard	String	false	boolean
#Passenger p27
p27.traffic	String	false	boolean
p27.flightNo	String	CZ3265	unit
p27.fee	Double	0	yuan
p27.light	Double	9	degree
p27.hasCheckinLuggage	String	true	boolean
p27.hasDanger	String	false	boolean
p27.updateLight	String	false	boolean
p27.updateBillboard	String	false	boolean
#Passenger p28
p28.traffic	String	false	boolean
p28.flightNo	String	CZ3265	unit
p28.fee	Double	0	yuan
p28.light	Double	5	degree
p28.hasCheckinLuggage	String	true	boolean
p28.hasDanger	String	false	boolean
p28.updateLight	String	false	boolean
p28.updateBillboard	String	false	boolean
#Passenger p29
p29.traffic	String	false	boolean
p29.flightNo	String	CZ3265	unit
p29.fee	Double	0	yuan
p29.light	Double	7	degree
p29.hasCheckinLuggage	String	true	boolean
p29.hasDanger	String	false	boolean
p29.updateLight	String	false	boolean
p29.updateBillboard	String	false	boolean
#Passenger p30
p30.traffic	String	false	boolean
p30.flightNo	String	CZ3265	unit
p30.fee	Double	0	yuan
p30.light	Double	3	degree
p30.hasCheckinLuggage	String	true	boolean
p30.hasDanger	String	false	boolean
p30.updateLight	String	false	boolean
p30.updateBillboard	String	false	boolean
#Passenger p31
p31.traffic	String	false	boolean
p31.flightNo	String	CZ3265	unit
p31.fee	Double	0	yuan
p31.light	Double	9	degree
p31.hasCheckinLuggage	String	true	boolean
p31.hasDanger	String	false	boolean
p31.updateLight	String	false	boolean
p31.updateBillboard	String	false	boolean
#Passenger p32
p32.traffic	String	false	boolean
p32.flightNo	String	CZ3265	unit
p32.fee	Double	0	yuan
p32.light	Double	1	degree
p32.hasCheckinLuggage	String	true	boolean
p32.hasDanger	String	false	boolean
p32.updateLight	String	false	boolean
p32.updateBillboard	String	false	boolean
#Passenger p33
p33.traffic	String	false	boolean
p33.flightNo	String	CZ3265	unit
p33.fee	Double	0	yuan
p33.light	Double	9	degree
p33.hasCheckinLuggage	String	true	boolean
p33.hasDanger	String	false	boolean
p33.updateLight	String	false	boolean
p33.updateBillboard	String	false	boolean
#Passenger p34
p34.traffic	String	false	boolean
p34.flightNo	String	CZ3265	unit
p34.fee	Double	0	yuan
p34.light	Double	4	degree
p34.hasCheckinLuggage	String	true	boolean
p34.hasDanger	String	false	boolean
p34.updateLight	String	false	boolean
p34.updateBillboard	String	false	boolean
#Passenger p35
p35.traffic	String	false	boolean
p35.flightNo	String	CZ3265	unit
p35.fee	Double	0	yuan
p35.light	Double	6	degree
p35.hasCheckinLuggage	String	true	boolean
p35.hasDanger	String	false	boolean
p35.updateLight	String	false	boolean
p35.updateBillboard	String	false	boolean
#Passenger p36
p36.traffic	String	false	boolean
p36.flightNo	String	CZ3265	unit
p36.fee	Double	0	yuan
p36.light	Double	3	degree
p36.hasCheckinLuggage	String	true	boolean
p36.hasDanger	String	false	boolean
p36.updateLight	String	false	boolean
p36.updateBillboard	String	false	boolean
#Passenger p37
p37.traffic	String	false	boolean
p37.flightNo	String	CZ3265	unit
p37.fee	Double	0	yuan
p37.light	Double	1	degree
p37.hasCheckinLuggage	String	true	boolean
p37.hasDanger	String	false	boolean
p37.updateLight	String	false	boolean
p37.updateBillboard	String	false	boolean
#Passenger p38
p38.traffic	String	false	boolean
p38.flightNo	String	CZ3265	unit
p38.fee	Double	0	yuan
p38.light	Double	10	degree
p38.hasCheckinLuggage	String	true	boolean
p38.hasDanger	String	false	boolean
p38.updateLight	String	false	boolean
p38.updateBillboard	String	false	boolean
#Passenger p39
p39.traffic	String	false	boolean
p39.flightNo	String	CZ3265	unit
p39.fee	Double	0	yuan
p39.light	Double	3	degree
